Drug_ID,Metric,Shuffled_Val_Mean,Unshuffled_Val_Mean,Val_Mean_Diff,Shuffled_Test_Mean,Unshuffled_Test_Mean,Test_Mean_Diff,Val_T_Stat,Val_T_P_Value,Val_MW_U_Stat,Val_MW_P_Value,Val_Cohens_D,Test_T_Stat,Test_T_P_Value,Test_MW_U_Stat,Test_MW_P_Value,Test_Cohens_D,N_Shuffled,N_Unshuffled
127,Pearson Correlation,0.6993580000000001,0.71526,-0.01590199999999986,0.6797240000000001,0.6816639999999999,-0.0019399999999998307,-1.4079351102380198,0.16231458135133184,1004.5,0.0912192245034696,-0.281587022047604,-0.2134565831893633,0.8314142958125691,1186.0,0.6615591808190168,-0.04269131663787266,50,50
127,Spearman Correlation,0.586714,0.5879460000000001,-0.0012320000000001219,0.563814,0.562288,0.0015260000000000273,-0.09384800089373344,0.9254215071793632,1191.0,0.686732468009106,-0.018769600178746685,0.1313743254658234,0.8957485252543755,1206.5,0.766897110518961,0.026274865093164682,50,50
127,R² Score,0.48587199999999997,0.507706,-0.02183400000000002,0.447436,0.45076,-0.0033239999999999936,-1.3890034190511389,0.1679801127350765,1010.0,0.09872431079247232,-0.27780068381022777,-0.2514378754367846,0.8020020802446881,1193.5,0.6994533097370854,-0.05028757508735693,50,50
151,Pearson Correlation,0.702956,0.704464,-0.0015079999999999538,0.6737040000000001,0.672718,0.0009860000000000424,-0.17029120523992214,0.8651321956315219,1220.0,0.838846223971031,-0.034058241047984425,0.12170979563686633,0.903378074642624,1275.5,0.8631638855749967,0.024341959127373265,50,50
151,Spearman Correlation,0.6667080000000002,0.6698379999999999,-0.003129999999999744,0.63723,0.632648,0.004581999999999975,-0.2974178299397615,0.7667770742705767,1204.5,0.7563908064555002,-0.0594835659879523,0.436623932498978,0.6633445854456388,1335.0,0.560208881714335,0.0873247864997956,50,50
151,R² Score,0.4875999999999999,0.49095599999999995,-0.0033560000000000256,0.441138,0.438724,0.0024139999999999717,-0.2770122991320441,0.7823541141831039,1202.5,0.7459286081114791,-0.055402459826408824,0.22958880188820782,0.8188898125108396,1269.5,0.8957881570375995,0.045917760377641566,50,50
188,Pearson Correlation,0.5989559999999999,0.59795,0.0010059999999999514,0.5868220000000001,0.5794060000000001,0.007415999999999978,0.09884046095083897,0.9214668371111339,1267.0,0.9094372682251429,0.019768092190167796,0.6745166066678964,0.5015710487368317,1342.0,0.5281801896754578,0.13490332133357927,50,50
188,Spearman Correlation,0.5575640000000001,0.54757,0.009994000000000058,0.5399120000000001,0.531474,0.008438000000000057,0.8290144229125845,0.4091108868411466,1367.0,0.42189959061886206,0.1658028845825169,0.7403989986572973,0.4608281352054202,1351.0,0.4884169349823003,0.14807979973145946,50,50
188,R² Score,0.35268199999999994,0.354774,-0.0020920000000000383,0.33196200000000003,0.31457599999999997,0.017386000000000068,-0.17760141318279477,0.859402590946948,1259.0,0.9532727267129067,-0.03552028263655895,1.2933142588406366,0.19894269173569576,1423.0,0.23436729735512896,0.25866285176812737,50,50
201,Pearson Correlation,0.029640000000000003,0.03969199999999999,-0.010051999999999988,0.010128,0.02858,-0.018452000000000003,-0.38922232601166745,0.6979561580808276,1153.0,0.5058882913243417,-0.07784446520233348,-0.8468393518523285,0.3991479358596407,1188.0,0.6715868211594943,-0.1693678703704657,50,50
201,Spearman Correlation,0.018362000000000003,0.027344,-0.008981999999999997,0.014282000000000001,0.023847999999999998,-0.009565999999999996,-0.3368366604966989,0.7369603090280175,1199.0,0.7277358352394586,-0.06736733209933977,-0.4202526592267527,0.6752209139208611,1230.0,0.8930629655407459,-0.08405053184535054,50,50
201,R² Score,-0.08726800000000001,-0.07532,-0.011948000000000014,-0.09861,-0.102812,0.004201999999999997,-0.7118010195422918,0.47827903548586137,1027.0,0.12506042652441687,-0.14236020390845833,0.22715411827975132,0.8207770958421082,1258.5,0.9560179898391211,0.04543082365595027,50,50
244,Pearson Correlation,0.545414,0.55474,-0.009326000000000056,0.517328,0.515944,0.0013840000000000519,-0.710640617380447,0.47899479080068297,1187.0,0.6665665083376584,-0.1421281234760894,0.10339714953138857,0.917859071731083,1221.0,0.844238824224178,0.020679429906277715,50,50
244,Spearman Correlation,0.5317239999999999,0.5399039999999999,-0.008180000000000076,0.5253800000000001,0.5211299999999999,0.004250000000000198,-0.6314287502860311,0.5292302988257777,1128.0,0.40225306635848224,-0.1262857500572062,0.3768495403140702,0.7071001785809208,1332.0,0.574219581399251,0.07536990806281403,50,50
244,R² Score,0.294176,0.30347799999999997,-0.009301999999999977,0.24285199999999996,0.241066,0.0017859999999999543,-0.6606848203542613,0.5103645564606039,1208.0,0.7748058334011008,-0.13213696407085226,0.09768609745931123,0.922381069814341,1200.0,0.7329190679949796,0.019537219491862243,50,50
273,Pearson Correlation,0.579028,0.591896,-0.01286799999999999,0.551552,0.5521499999999999,-0.0005979999999998764,-1.1690351569804187,0.24522515839962858,1127.5,0.4003207374608099,-0.23380703139608378,-0.04537677029374068,0.9638993326604814,1251.5,0.9944995216155099,-0.009075354058748137,50,50
273,Spearman Correlation,0.5252560000000001,0.5289059999999999,-0.00364999999999982,0.515348,0.50965,0.005697999999999981,-0.2536331475887899,0.8003103335982638,1274.5,0.8685880910279686,-0.05072662951775798,0.3759035298581702,0.7078011103341928,1274.0,0.8713013343426609,0.07518070597163405,50,50
273,R² Score,0.33031999999999995,0.345112,-0.014792000000000027,0.284712,0.288536,-0.003823999999999994,-1.1775433897456473,0.24183049660241876,1089.0,0.2685239858660573,-0.2355086779491295,-0.2298436892469952,0.8186922939516824,1230.5,0.8957884679245728,-0.04596873784939905,50,50
298,Pearson Correlation,0.541416,0.553688,-0.01227199999999995,0.53389,0.49210199999999993,0.04178800000000005,-0.3325699618358788,0.74016926286325,1191.0,0.6867342481093576,-0.06651399236717576,1.4892191932206134,0.13964087707989395,1477.5,0.11760593496038642,0.2978438386441226,50,50
298,Spearman Correlation,0.08508399999999999,0.10309800000000001,-0.018014000000000016,0.08511200000000001,0.1168,-0.031687999999999994,-0.9325416985652072,0.35334847965053995,1041.0,0.15061531823974889,-0.18650833971304145,-1.8903950281742012,0.061659689870677374,989.0,0.07251909759028058,-0.3780790056348402,50,50
298,R² Score,0.31023999999999996,0.311032,-0.0007920000000000149,0.11355,-0.11225599999999998,0.22580599999999998,-0.021592453079761174,0.9828169568462273,1226.5,0.8740164841281104,-0.004318490615952236,1.7193047224844336,0.08871594519073607,1514.5,0.06876297850814976,0.34386094449688676,50,50
380,Pearson Correlation,0.529096,0.54731,-0.018213999999999952,0.47415399999999996,0.47326799999999997,0.0008859999999999979,-1.2852288660111983,0.20174142843611614,1068.5,0.21210975157990852,-0.25704577320223965,0.0680249113459236,0.9459044025099995,1253.0,0.9862494583605249,0.01360498226918472,50,50
380,Spearman Correlation,0.5058459999999999,0.5044540000000001,0.0013919999999998378,0.468732,0.45821,0.010521999999999976,0.09437179044294124,0.92500650892305,1251.0,0.9972497362176777,0.018874358088588245,0.8996719961031056,0.3705002199372096,1349.0,0.49710784815999065,0.1799343992206211,50,50
380,R² Score,0.276102,0.29681,-0.020708000000000004,0.19956800000000005,0.20351399999999997,-0.003945999999999922,-1.347703936387557,0.18086097897246722,1087.5,0.2640789205822567,-0.26954078727751135,-0.2503948064473085,0.8028062333757635,1187.0,0.6665674483521367,-0.050078961289461696,50,50
5,Pearson Correlation,0.6270279999999999,0.584904,0.04212399999999994,0.579514,0.566036,0.01347799999999999,3.7466071642657637,0.0003028814513207047,1758.5,0.0004616383643911167,0.7493214328531527,1.273888342533417,0.2057158821305119,1463.5,0.14199645662838054,0.25477766850668343,50,50
5,Spearman Correlation,0.586548,0.546928,0.03961999999999999,0.541746,0.53296,0.00878599999999996,3.4228186001488345,0.0009058001615155432,1695.5,0.0021567043987498046,0.6845637200297668,0.8417489934719762,0.40197787597627943,1418.0,0.24820296724008017,0.16834979869439526,50,50
5,R² Score,0.38766599999999996,0.338098,0.049567999999999945,0.31516,0.30286,0.012299999999999978,3.7568687190230974,0.0002922407648182487,1751.0,0.0005598030535448897,0.7513737438046195,0.8697196691352561,0.38657884716404567,1417.5,0.24961918965293217,0.17394393382705123,50,50
57,Pearson Correlation,0.277956,0.28531399999999996,-0.007357999999999976,0.24174600000000004,0.259816,-0.018069999999999947,-0.4231413669299816,0.6731192559402892,1207.0,0.7695311529988189,-0.08462827338599634,-1.3946821558770357,0.1662650726248442,1078.0,0.23708779494992505,-0.2789364311754071,50,50
57,Spearman Correlation,0.24550199999999997,0.264304,-0.018802000000000013,0.24186200000000008,0.254264,-0.012401999999999913,-1.2324260673872096,0.22073852323442847,1083.0,0.25104104043093745,-0.24648521347744193,-0.9328540344728321,0.3531879827506378,1136.0,0.43394824906079754,-0.1865708068945664,50,50
57,R² Score,0.068796,0.070922,-0.002126000000000003,0.024792,0.039124,-0.014331999999999998,-0.2073000964269578,0.8362056455089617,1226.0,0.8713013343426609,-0.04146001928539156,-1.2505534013207404,0.21407510393285892,1074.0,0.22632915727906489,-0.2501106802641481,50,50
80,Pearson Correlation,0.49146,0.494354,-0.0028940000000000077,0.49093000000000003,0.49345600000000006,-0.0025260000000000282,-0.1489434571570009,0.8819043174649348,1225.0,0.8658740190241037,-0.029788691431400182,-0.16675760540688858,0.8679043679281069,1248.0,0.9917494383745994,-0.03335152108137772,50,50
80,Spearman Correlation,0.37174000000000007,0.36721,0.0045300000000000895,0.37650600000000006,0.368958,0.007548000000000055,0.25363659654947895,0.8003076764652535,1323.5,0.614788261544531,0.05072731930989579,0.5405761414062312,0.590026286331285,1354.5,0.4733978099478162,0.10811522828124626,50,50
80,R² Score,0.23758599999999996,0.24327400000000002,-0.005688000000000054,0.21157399999999998,0.20657399999999998,0.0050000000000000044,-0.2997742873484894,0.7649842312724293,1198.5,0.7251488646869171,-0.05995485746969787,0.31619208803691734,0.7525291833066039,1282.0,0.8280867908069598,0.06323841760738348,50,50
99,Pearson Correlation,0.649996,0.658732,-0.008735999999999966,0.63097,0.6214120000000001,0.009557999999999955,-0.9913602980673905,0.3239511264420244,1078.0,0.2370849808824973,-0.19827205961347807,1.2042736246541383,0.23138435515421135,1409.0,0.2745313187489842,0.2408547249308277,50,50
99,Spearman Correlation,0.6206219999999999,0.61716,0.003461999999999854,0.60547,0.5946339999999999,0.010836000000000068,0.32209893806281303,0.7480638262397568,1293.0,0.7695311529988189,0.06441978761256262,1.1635863916255418,0.24741688881843377,1421.0,0.23983197687586677,0.23271727832510836,50,50
99,R² Score,0.41453,0.42597,-0.011440000000000006,0.38156600000000007,0.37339599999999995,0.008170000000000122,-1.0372779049333456,0.3021590001317225,1083.5,0.2524614082908698,-0.2074555809866691,0.7807315207252874,0.43684224023844653,1356.0,0.4670420885147608,0.15614630414505748,50,50
