drug_id,model,mean,std,p_value,n
D127,ERK_SNN,0.412981208562851,0.08323327622528308,,50
D127,GraNet_DI,0.37693241000175476,0.14957847703452543,0.12332867260562617,50
D151,ERK_SNN,0.4123999011516571,0.057377067126546645,,50
D151,GraNet_DI,0.30267112493515014,0.21571225323679324,0.0008557747691546243,50
D188,ERK_SNN,0.29353281021118166,0.08548442134544579,,50
D188,GraNet_DI,0.23295735597610473,0.2256785161175148,0.06391211570871079,50
D201,ERK_SNN,-0.4079402709007263,2.480418777910334,,50
D201,GraNet_DI,-37.96696965098381,103.16210882492815,0.025442468662928614,40
D244,ERK_SNN,0.2244084906578064,0.08213206068117894,,50
D244,GraNet_DI,0.1703532648086548,0.0798744491981012,8.635392304765938e-05,50
D273,ERK_SNN,0.2658931970596313,0.07222577735873999,,50
D273,GraNet_DI,0.21793044447898866,0.09235335367090541,0.001167900566284907,50
D298,ERK_SNN,0.1640534734725952,0.3286829514581422,,50
D298,GraNet_DI,-2.4788979029655454,17.64728874301518,0.292830034127937,50
D380,ERK_SNN,0.21265891075134277,0.06645577029687985,,50
D380,GraNet_DI,0.1708197057247162,0.09356145524934192,0.002263823941899331,50
D5,ERK_SNN,0.3198121988773346,0.06947750554583249,,50
D5,GraNet_DI,0.3050580358505249,0.08904788965899386,0.09205045690158402,50
D57,ERK_SNN,-0.10409187316894532,0.4594938487286308,,50
D57,GraNet_DI,-0.04480747580528259,0.34892737435104343,0.46671107177832105,50
D80,ERK_SNN,0.1633926212787628,0.08118366335843749,,50
D80,GraNet_DI,-0.02588454008102417,0.9536536162886631,0.16554978423104552,50
D99,ERK_SNN,0.3508971059322357,0.05852942758863955,,50
D99,GraNet_DI,0.29253814578056336,0.1904922849309724,0.03197289968060346,50
